ObjectID,bponOntEquipId,bponOntSerialNumber,bponOntSubscriberId1,bponOntSubscriberLocId,ifAdminStatus,ifOperStatus
R1.S1.LT1.PON1.ONT27,NOCLEICODEG010GA,ALCLB135140E,,ADKONTACT,up,up
R1.S1.LT1.PON4.ONT20,NOCLEICODEG240WA,ALCLF87171CE,,WILDCARD,up,up
R1.S1.LT1.PON1.ONT28,,ALCLB3A7CE06,,22258871,up,down
R1.S1.LT1.PON2.ONT27,     00000G240WF,ALCLB3A5C2D5,,22252908,up,up
R1.S1.LT1.PON1.ONT29,,ALCLB3A5CDBA,,22512518,up,down
R1.S1.LT1.PON4.ONT22,NOCLEICODEG240WA,ALCLF8714EC9,,WILDCARD,up,up
R1.S1.LT1.PON6.ONT20,     00000G240WF,ALCLB3A5CD4D,,22252778,up,up
R1.S1.LT1.PON8.ONT26,NOCLEICODEG240WA,ALCLF8715C90,,WILDCARD,up,up
R1.S1.LT1.PON2.ONT29,     00000G240WF,ALCLB3BD3C59,DJIDJO02_PBO85-F3,22558288,up,up
R1.S1.LT1.PON3.ONT20,NOCLEICODEG240WA,ALCLF87165D5,ADIDO1_PBO21-F8,22505654,up,up
R1.S1.LT1.PON2.ONT26,NOCLEICODEG240WA,ALCLF8715CDE,,22506630,up,up
R1.S1.LT1.PON3.ONT29,,ALCLB372BF0B,,22252168,up,down
R1.S1.LT1.PON5.ONT27,     00000G240WF,ALCLB372C506,,22259201,up,up
R1.S1.LT1.PON4.ONT29,     00000G240WF,ALCLB372BE21,,91270040 ,up,down
R1.S1.LT1.PON5.ONT28,     00000G240WF,ALCLB372C8E2,,22258881,up,down
R1.S1.LT1.PON6.ONT27,     00000G240WF,ALCLB3BD42EA,DO3_PBO261-F1,22255177,up,up
R1.S1.LT1.PON1.ONT25,     00000G240WF,ALCLB372BE8A,,22257956,up,up
R1.S1.LT1.PON2.ONT28,     00000G240WF,ALCLB3A5CC37,,22502173,up,up
R1.S1.LT1.PON5.ONT29,     00000G240WF,ALCLB3A7CE9E,,22500980,up,down
R1.S1.LT1.PON1.ONT26,     00000G240WF,ALCLB372C07B,,22258425,up,up
R1.S1.LT1.PON2.ONT25,     00000G240WF,ALCLB3A5CE8C,,22251193,up,up
R1.S1.LT1.PON6.ONT29,     00000G240WF,ALCLB3BD3C23,PBO-256  F-5,22512337,up,up
R1.S1.LT1.PON3.ONT25,,ALCLB37241E2,,WILDCARD,up,down
R1.S1.LT1.PON4.ONT28,     00000G240WF,ALCLB372B3FC,,22258014,up,up
R1.S1.LT1.PON6.ONT26,     00000G240WF,ALCLB3BD4351,ADIDO3_PBO263-F3,22253795,up,up
R1.S1.LT1.PON3.ONT26,     00000G240WF,ALCLB37242AE,,22257718,up,up
R1.S1.LT1.PON4.ONT25,     00000G240WF,ALCLB37241CA,,22509523,up,up
R1.S1.LT1.PON3.ONT27,     00000G240WF,ALCLB3717412,,WILDCARD,up,up
R1.S1.LT1.PON5.ONT25,     00000G240WF,ALCLB372C559,,22504590,up,down
R1.S1.LT1.PON6.ONT28,     00000G240WF,ALCLB3BD3B67,ADIDO3_PBO256-F7,22253160,up,down
R1.S1.LT1.PON3.ONT28,     00000G240WF,ALCLB3716D5D,,22507834,up,up
R1.S1.LT1.PON4.ONT27,     00000G240WF,ALCLB30FC3BA,,22513896,up,up
R1.S1.LT1.PON5.ONT26,,ALCLB372C356,,92151392,up,down
R1.S1.LT1.PON6.ONT25,     00000G240WF,ALCLB3BD3B53,ADIDO3_PBO262-F2, 22251777,up,up
R1.S1.LT1.PON4.ONT26,     00000G240WF,ALCLB3717201,,22516621,up,down
R1.S1.LT1.PON1.ONT30,     00000G240WF,ALCLB3A5CCAF,,22252447,up,up
R1.S1.LT1.PON2.ONT33,     00000G240WF,ALCLB2F6A676,MINA4_PBO147-F6,22503909,up,up
R1.S1.LT1.PON5.ONT34,     00000G240WF,ALCLB3A5CB06,,22251069,up,down
R1.S1.LT1.PON9.ONT38,,ALCLB3A5C386,,22500999,up,down
R1.S1.LT1.PON1.ONT31,     00000G240WF,ALCLB2F6BCFB,ADID01_PBO01-F3,22500019,up,up
R1.S1.LT1.PON2.ONT30,     00000G240WF,ALCLB3BD4114,ADIDO1_PBO15-F4,22505624,up,up
R1.S1.LT1.PON5.ONT35,,ALCLB3A5CCC3,,22251061,up,down
R1.S1.LT1.PON6.ONT34,     00000G240WF,ALCLB2F6BB4A,ADID03_PBO261-F2,22558894,up,up
R1.S1.LT1.PON9.ONT39,     00000G240WF,ALCLB3A5C477,,22512059,up,up
R1.S1.LT1.PON1.ONT32,     00000G240WF,ALCLB3A5C418,,22502272,up,up
R1.S1.LT1.PON2.ONT35,     00000G240WF,ALCLB2F6B894,ADIDO1_PBO15-F6,22256208,up,up
R1.S1.LT1.PON1.ONT33,     00000G240WF,ALCLB3459952,,22252524,up,up
R1.S1.LT1.PON3.ONT32,     00000G240WF,ALCLB372C1FD,,92670175,up,up
R1.S1.LT1.PON4.ONT35,     00000G240WF,ALCLB3A5CCB0,,22502003,up,up
R1.S1.LT1.PON5.ONT30,     00000G240WF,ALCLB3A5CEDC,,22517090,up,up
R1.S1.LT1.PON6.ONT33,     00000G240WF,ALCLB2F6ABE9,ADIDO3_PBO263-F5,22558915,up,down
R1.S1.LT1.PON7.ONT36,,ALCLF8715A47,,WILDCARD,up,down
R1.S1.LT1.PON8.ONT39,NOCLEICODEG240WA,ALCLF8717204,,WILDCARD,up,up
R1.S1.LT1.PON3.ONT33,     00000G240WF,ALCLB372C954,,22512744,up,up
R1.S1.LT1.PON4.ONT32,     00000G240WF,ALCLB372A581,,22250798,up,up
R1.S1.LT1.PON5.ONT31,     00000G240WF,ALCLB3A5C4EE,,22507137,up,up
R1.S1.LT1.PON6.ONT30,     00000G240WF,ALCLB3BD3C76,ADIDO3_PBO263-F4,22255310,up,up
R1.S1.LT1.PON7.ONT37,NOCLEICODEG240WA,ALCLF87152ED,,WILDCARD,up,up
R1.S1.LT1.PON8.ONT36,NOCLEICODEG240WA,ALCLF8715D84,,WILDCARD,up,up
R1.S1.LT1.PON2.ONT31,     00000G240WF,ALCLB3BD4067,ADIDO1_PBO010-F8,22509355,up,up
R1.S1.LT1.PON3.ONT34,     00000G240WF,ALCLB372C34D,,22250832,up,down
R1.S1.LT1.PON5.ONT32,     00000G240WF,ALCLB3A7CA41,,22516027,up,up
R1.S1.LT1.PON6.ONT35,     00000G240WF,ALCLB2F6AB69,ADIDO3_PBO263-F6,22503107,up,down
R1.S1.LT1.PON7.ONT38,,ALCLF87152F1,,WILDCARD,up,down
R1.S1.LT1.PON9.ONT36,,ALCLB3A5C45F,,22512135,up,down
R1.S1.LT1.PON3.ONT35,     00000G240WF,ALCLB372C852,,22517521,up,up
R1.S1.LT1.PON4.ONT34,     00000G240WF,ALCLB3A7CD41,,22258839,up,up
R1.S1.LT1.PON5.ONT33,     00000G240WF,ALCLB3A5CBD3,,22505763,up,down
R1.S1.LT1.PON6.ONT32,     00000G240WF,ALCLB3BD417F,ADIDO3_PB0256-F8,22519812,up,up
R1.S1.LT1.PON7.ONT39,,ALCLF871550E,,WILDCARD,up,down
R1.S1.LT1.PON8.ONT38,,ALCLF8715532,,WILDCARD,up,down
R1.S1.LT1.PON9.ONT37,     00000G240WF,ALCLB3A5C595,,22519245,up,up
R1.S1.LT1.PON1.ONT38,     00000G240WF,ALCLB2F6B480,ADIDO01_PBO06-F6,22558213,up,up
R1.S1.LT1.PON4.ONT31,     00000G240WF,ALCLB372A420,,22253945,up,down
R1.S1.LT1.PON1.ONT39,     00000G240WF,ALCLB2F6AC1F,ADIDO1_PBO6-F7,22558856,up,down
R1.S1.LT1.PON2.ONT38,     00000G240WF,ALCLB3BD3CC2,ADIDO1_PBO12-F3,22253753,up,up
R1.S1.LT1.PON3.ONT30,NOCLEICODEG010GA,ALCLB1350FF3,,WILDCARD,up,up
R1.S1.LT1.PON4.ONT33,     00000G240WF,ALCLB372BE8D,,22258562,up,up
R1.S1.LT1.PON6.ONT31,     00000G240WF,ALCLB3BD3C22,ADIDO3_PBO256-F6,22508929,up,up
R1.S1.LT1.PON8.ONT37,NOCLEICODEG240WA,ALCLF8715AC7,,WILDCARD,up,down
R1.S1.LT1.PON3.ONT31,     00000G240WF,ALCLB372B0E2,,22519674,up,up
R1.S1.LT1.PON4.ONT30,     00000G240WF,ALCLB372A4D1,,22258356,up,up
R1.S1.LT1.PON2.ONT37,     00000G240WF,ALCLB2F6BE2C,ADIDO1-PBO11-F3,22558738,up,down
R1.S1.LT1.PON5.ONT38,     00000G240WF,ALCLB3A5CE00,,22502164,up,up
R1.S1.LT1.PON5.ONT39,     00000G240WF,ALCLB3A5CDA4,,22259974,up,down
R1.S1.LT1.PON6.ONT38,     00000G240WF,ALCLB3BD41C4,ADIDO3_PBO262-F3,22508241,up,up
R1.S1.LT1.PON1.ONT36,     00000G240WF,ALCLB2F6B89D,ADIDO1_PB3-F6,22558745,up,up
R1.S1.LT1.PON2.ONT39,     00000G240WF,ALCLB3BD41AA,ADIDO1_PBO09-F4,22504235,up,down
R1.S1.LT1.PON1.ONT37,     00000G240WF,ALCLB2F6A961,ADIDO1_PBO3_F7,22212773,up,up
R1.S1.LT1.PON2.ONT36,     00000G240WF,ALCLB2F6BE2B,ADIDO1_PBO16-F8,22558222,up,up
R1.S1.LT1.PON3.ONT36,     00000G240WF,ALCLB372B012,,22500685,up,up
R1.S1.LT1.PON4.ONT39,     00000G240WF,ALCLB3BD3B52,ADIDO2_PBO25-F6,22256395,up,down
R1.S1.LT1.PON6.ONT37,     00000G240WF,ALCLB2F6AD9C,ADIDO3_PBO261-F3,22503174,up,up
R1.S1.LT1.PON3.ONT37,     00000G240WF,ALCLB3A7CD8E,,22256390,up,up
R1.S1.LT1.PON4.ONT36,     00000G240WF,ALCLB3A5CB25,,22506842,up,up
R1.S1.LT1.PON3.ONT38,     00000G240WF,ALCLB3A5CBC2,,22516553,up,up
R1.S1.LT1.PON5.ONT36,,ALCLB3A5CD18,,22501935,up,down
R1.S1.LT1.PON6.ONT39,     00000G240WF,ALCLB3BD3E23,ADIDO03_PBO263-F7,22508298,up,up
R1.S1.LT1.PON3.ONT39,,ALCLB3A5C3DE,,22251835,up,down
R1.S1.LT1.PON4.ONT38,     00000G240WF,ALCLB3A5C58F,,22259395,up,up
