ObjectID,extendPortTotalDnDiscByteCounter,extendPortTotalDnFwdByteCounter,extendPortTotalUpDiscByteCounter,extendPortTotalUpFwdByteCounter,ifOperStatus
R1.S1.LT1.PON8.ONT3.C14.P1,0,3014000938770,42511,353401058403,up
R1.S1.LT1.PON1.ONT7.C14.P1,0,0,0,0,down
R1.S1.LT1.PON8.ONT4.C14.P1,0,5301564250542,1316,901853546824,up
R1.S1.LT1.PON1.ONT8.C14.P1,0,0,0,0,down
R1.S1.LT1.PON2.ONT7.C14.P1,0,1149245362170,12166,87331594230,up
R1.S1.LT1.PON1.ONT5.C14.P1,0,29945194,0,72743806,down
R1.S1.LT1.PON2.ONT8.C14.P1,0,2067847527505,22126,370804572252,up
R1.S1.LT1.PON5.ONT9.C14.P1,0,10158,0,7750,down
R1.S1.LT1.PON1.ONT6.C14.P1,0,0,0,0,down
R1.S1.LT1.PON2.ONT5.C14.P1,0,1948820991959,0,155876989264,down
R1.S1.LT1.PON6.ONT9.C14.P1,0,11295525928651,0,832855841411,up
R1.S1.LT1.PON1.ONT3.C14.P1,0,4146237394554,393,380425766430,up
R1.S1.LT1.PON2.ONT6.C14.P1,0,7956557906642,0,917682699304,up
R1.S1.LT1.PON3.ONT9.C14.P1,0,20557356543,0,1205935714,down
R1.S1.LT1.PON5.ONT7.C14.P1,0,65800,0,56698,down
R1.S1.LT1.PON1.ONT4.C14.P1,0,186550504,0,104415064,down
R1.S1.LT1.PON2.ONT3.C14.P1,0,1310804617943,0,217492871054,up
R1.S1.LT1.PON4.ONT9.C14.P1,0,0,0,0,down
R1.S1.LT1.PON5.ONT8.C14.P1,0,1382159154849,0,238342298060,up
R1.S1.LT1.PON6.ONT7.C14.P1,0,27887221730493,0,2530131841537,up
R1.S1.LT1.PON2.ONT4.C14.P1,0,5100632688737,0,385594694489,down
R1.S1.LT1.PON3.ONT7.C14.P1,0,0,0,0,down
R1.S1.LT1.PON5.ONT5.C14.P1,0,4395244060255,0,800598746262,up
R1.S1.LT1.PON6.ONT8.C14.P1,0,1801776217489,0,222302604454,up
R1.S1.LT1.PON3.ONT8.C14.P1,0,3604238486336,0,916322648811,up
R1.S1.LT1.PON4.ONT7.C14.P1,0,0,0,0,down
R1.S1.LT1.PON5.ONT6.C14.P1,0,0,0,0,down
R1.S1.LT1.PON6.ONT5.C14.P1,0,2631082086183,0,424418639869,up
R1.S1.LT1.PON3.ONT5.C14.P1,0,1408296512221,12247,143445688752,down
R1.S1.LT1.PON4.ONT8.C14.P1,0,1165907723786,0,200918951160,up
R1.S1.LT1.PON5.ONT3.C14.P1,0,0,0,0,down
R1.S1.LT1.PON6.ONT6.C14.P1,0,2172958927271,0,215385446627,up
R1.S1.LT1.PON3.ONT6.C14.P1,0,3051071395982,3605,337621189489,up
R1.S1.LT1.PON4.ONT5.C14.P1,0,0,0,0,down
R1.S1.LT1.PON5.ONT4.C14.P1,0,0,0,0,down
R1.S1.LT1.PON6.ONT3.C14.P1,0,352492809809,0,49576387856,down
R1.S1.LT1.PON9.ONT1.C14.P1,0,3332054218151,12244,307582797357,up
R1.S1.LT1.PON9.ONT2.C14.P1,0,3684772859753,18942,335225644097,up
R1.S1.LT1.PON7.ONT1.C14.P1,0,671781225,0,210903380,down
R1.S1.LT1.PON7.ONT2.C14.P1,0,6196040982626,22151,438950366899,up
R1.S1.LT1.PON7.ONT33.C1.P1,0,800929973099,107944692,131163644267,up
R1.S1.LT1.PON8.ONT1.C14.P1,0,2221442557249,16817,493305094596,up
R1.S1.LT1.PON8.ONT2.C14.P1,0,0,0,0,down
R1.S1.LT1.PON1.ONT1.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT9.C14.P1,0,207139096378,0,16791816508,down
R1.S1.LT1.PON1.ONT2.C14.P1,0,282589050849,0,13370044905,up
R1.S1.LT1.PON2.ONT1.C14.P1,0,3976561174363,10360,261561079702,up
R1.S1.LT1.PON2.ONT2.C14.P1,0,0,0,0,down
R1.S1.LT1.PON7.ONT9.C14.P1,0,9316202113844,32084,1119136271561,up
R1.S1.LT1.PON9.ONT7.C14.P1,0,741735018076,0,46995485220,up
R1.S1.LT1.PON8.ONT9.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT8.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT12.C14.P1,0,1560377219630,948,102747937446,up
R1.S1.LT1.PON9.ONT13.C14.P1,0,0,0,0,down
R1.S1.LT1.PON7.ONT12.C14.P1,0,1251868791502,5046,99301302365,up
R1.S1.LT1.PON9.ONT10.C14.P1,0,0,0,0,down
R1.S1.LT1.PON7.ONT13.C14.P1,0,2762115735189,1696,192524934553,up
R1.S1.LT1.PON8.ONT12.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT11.C14.P1,0,0,0,0,down
R1.S1.LT1.PON7.ONT10.C14.P1,0,0,0,0,down
R1.S1.LT1.PON8.ONT13.C14.P1,0,1186556816615,5533,94676958143,up
R1.S1.LT1.PON7.ONT11.C14.P1,0,0,0,0,down
R1.S1.LT1.PON8.ONT10.C14.P1,0,0,0,0,down
R1.S1.LT1.PON8.ONT11.C14.P1,0,2433254200651,6097,136325664744,up
R1.S1.LT1.PON1.ONT12.C14.P1,0,515496256051,0,53573323507,up
R1.S1.LT1.PON1.ONT13.C14.P1,0,338330452551,0,54246473047,up
R1.S1.LT1.PON2.ONT12.C14.P1,0,0,0,0,down
R1.S1.LT1.PON1.ONT10.C14.P1,0,1587249071433,0,132490022836,up
R1.S1.LT1.PON2.ONT13.C14.P1,0,2869496463009,0,243285813739,up
R1.S1.LT1.PON9.ONT18.C14.P1,0,1364604027810,0,238174837838,up
R1.S1.LT1.PON1.ONT11.C14.P1,0,0,0,0,down
R1.S1.LT1.PON2.ONT10.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT19.C14.P1,0,177498370851,2212,13678561906,up
R1.S1.LT1.PON3.ONT14.C14.P1,0,1113359159635,0,145490578074,up
R1.S1.LT1.PON4.ONT17.C14.P1,0,451945129904,36747,29503938539,down
R1.S1.LT1.PON6.ONT15.C14.P1,0,2077136962917,0,230201794280,up
